Type , Left     , Old Mid      , Right        , New Mid    , Frequency
DEL  , '，'      , UNKNOWN_CHAR , NAME         ,            , 10       
DEL  , NUMBER   , NUMBER       , NUMBER       ,            , 10       
SUB  , NAME     , '，'          , NAME         , 'as'       , 10       
DEL  , NUMBER   , UNKNOWN_CHAR , ')'          ,            , 10       
DEL  , '}'      , UNKNOWN_CHAR , END          ,            , 9        
SUB  , '，'      , UNKNOWN_CHAR , ']'          , STRING     , 9        
DEL  , NAME     , UNKNOWN_CHAR , NAME         ,            , 9        
DEL  , ')'      , 99           , END          ,            , 9        
INS  , '}'      ,              , END          , ']'        , 9        
DEL  , NAME     , '.'          , '('          ,            , 9        
INS  , NEWLINE  ,              , STRING       , 98         , 9        
INS  , STRING   ,              , NAME         , '+'        , 9        
INS  , '['      ,              , STRING       , '['        , 9        
DEL  , '['      , '['          , STRING       ,            , 9        
INS  , ':'      ,              , END          , '['        , 9        
INS  , '['      ,              , END          , ']'        , 9        
DEL  , NEWLINE  , 98           , 'if'         ,            , 9        
SUB  , NAME     , '('          , NUMBER       , '['        , 9        
INS  , NEWLINE  ,              , NAME         , 'return'   , 9        
INS  , '+'      ,              , NEWLINE      , '+'        , 9        
INS  , '+'      ,              , NEWLINE      , NUMBER     , 9        
INS  , ':'      ,              , NEWLINE      , 'pass'     , 9        
DEL  , START    , NAME         , '['          ,            , 9        
INS  , STRING   ,              , ']'          , ')'        , 9        
DEL  , ']'      , NAME         , END          ,            , 9        
INS  , ':'      ,              , END          , NUMBER     , 9        
SUB  , STRING   , '='          , '['          , ':'        , 9        
DEL  , NEWLINE  , 98           , 'for'        ,            , 9        
INS  , STRING   ,              , ')'          , '}'        , 9        
INS  , ':'      ,              , END          , 'pass'     , 9        
SUB  , START    , 'import'     , '.'          , 'from'     , 9        
DEL  , NAME     , STRING       , '.'          ,            , 9        
DEL  , NAME     , UNKNOWN_CHAR , '}'          ,            , 8        
DEL  , STRING   , UNKNOWN_CHAR , ':'          ,            , 8        
INS  , NUMBER   ,              , END          , ']'        , 8        
DEL  , STRING   , NAME         , '}'          ,            , 8        
DEL  , NUMBER   , UNKNOWN_CHAR , ']'          ,            , 8        
INS  , 98       ,              , NAME         , 'def'      , 8        
DEL  , NAME     , NAME         , 'is'         ,            , 8        
DEL  , '...'    , '.'          , ']'          ,            , 8        
INS  , STRING   ,              , NEWLINE      , ':'        , 8        
INS  , NUMBER   ,              , ')'          , ']'        , 8        
INS  , NEWLINE  ,              , 'for'        , 99         , 8        
DEL  , NAME     , '**'         , END          ,            , 8        
DEL  , ')'      , UNKNOWN_CHAR , UNKNOWN_CHAR ,            , 8        
DEL  , NUMBER   , NUMBER       , NEWLINE      ,            , 8        
INS  , STRING   ,              , '，'          , ')'        , 8        
INS  , '('      ,              , STRING       , '('        , 8        
INS  , STRING   ,              , '}'          , ':'        , 8        
INS  , '.'      ,              , END          , NAME       , 8        
DEL  , '('      , '('          , STRING       ,            , 8        
SUB  , ']'      , '='          , NAME         , '=='       , 8        
DEL  , ')'      , 'for'        , NAME         ,            , 8        
DEL  , START    , 'if'         , NAME         ,            , 8        
INS  , '['      ,              , NAME         , '['        , 7        
INS  , NUMBER   ,              , ']'          , ')'        , 7        
SUB  , NAME     , STRING       , NAME         , '，'        , 7        
INS  , NAME     ,              , '，'          , ')'        , 7        
SUB  , STRING   , ':'          , NUMBER       , '，'        , 7        
DEL  , ')'      , ')'          , ']'          ,            , 7        
DEL  , NAME     , '**'         , NEWLINE      ,            , 7        
SUB  , START    , '['          , STRING       , '{'        , 7        
DEL  , ']'      , NAME         , NAME         ,            , 7        
DEL  , START    , '>'          , 'import'     ,            , 7        
DEL  , NUMBER   , NAME         , '，'          ,            , 7        
SUB  , STRING   , '，'          , STRING       , ':'        , 7        
DEL  , STRING   , NUMBER       , ']'          ,            , 7        
DEL  , STRING   , NAME         , '/'          ,            , 7        
DEL  , STRING   , NAME         , END          ,            , 7        
SUB  , START    , 'in'         , '='          , NAME       , 7        
SUB  , NEWLINE  , 'break'      , NEWLINE      , NAME       , 7        
SUB  , '{'      , UNKNOWN_CHAR , NAME         , STRING     , 7        
DEL  , ':'      , NEWLINE      , NAME         ,            , 7        
INS  , NUMBER   ,              , END          , '}'        , 7        
DEL  , START    , NAME         , STRING       ,            , 7        
DEL  , NAME     , '>'          , ')'          ,            , 7        
INS  , '='      ,              , '['          , NAME       , 7        
INS  , STRING   ,              , '{'          , ':'        , 7        
DEL  , ')'      , ')'          , ';'          ,            , 7        
INS  , NEWLINE  ,              , 'try'        , 98         , 7        
