Snippet length, Patch size, Bonus Actions, Bonus Total, Possible, Distinct valid repairs, Relevant edit actions, Saturation, Seq2Parse matched
227, 3, 9, 17, 1, 11, 1598, 2.2245558216744734E-5, 0
200, 3, 33, 412, 1, 162, 1505, 2.713598519316831E-5, 0
93, 2, 18, 181, 1, 65, 917, 1.126738753512752E-4, 1
136, 2, 19, 499, 1, 222, 858, 2.4921841082296397E-4, 0
83, 2, 45, 291, 1, 110, 667, 4.0482670490571925E-4, 0
74, 3, 0, 0, 1, 1, 740, 6.055769951352742E-4, 0
49, 2, 53, 256, 1, 103, 328, 0.009665458416648754, 0
40, 2, 0, 0, 1, 1, 349, 0.007625058309770461, 0
101, 2, 42, 920, 1, 364, 975, 1.5906308189471107E-4, 0
78, 3, 0, 0, 1, 1, 626, 0.0010134220743205768, 0
80, 2, 72, 1354, 1, 450, 483, 0.0015545617746482684, 0
263, 3, 0, 0, 1, 1, 2117, 2.20288980022817E-5, 0
109, 2, 9, 39, 1, 14, 941, 1.8180483413118674E-4, 0
31, 2, 22, 164, 1, 57, 156, 0.032191896863840046, 0
67, 1, 8, 25, 1, 9, 532, 9.678955896732284E-4, 1
112, 2, 23, 73, 1, 26, 769, 2.22426072185075E-4, 0
171, 1, 30, 254, 1, 102, 1613, 2.1711563549973877E-5, 1
113, 2, 0, 0, 1, 1, 785, 4.790222766757363E-4, 0
78, 2, 19, 120, 1, 36, 547, 7.94143629044504E-4, 1
244, 1, 21, 145, 1, 71, 2282, 7.60623165641397E-6, 1
76, 1, 31, 447, 1, 156, 331, 0.0040107661744376594, 0
32, 1, 6, 8, 1, 4, 258, 0.01895158230795218, 0
69, 1, 24, 174, 1, 51, 656, 7.864666368593594E-4, 0
184, 2, 29, 302, 1, 134, 1676, 2.2855968095174775E-5, 0
81, 3, 0, 0, 1, 1, 637, 0.0012050899287720516, 0
78, 2, 22, 181, 1, 54, 758, 5.037641719083674E-4, 0
516, 2, 12, 415, 1, 179, 2508, 7.536618218081587E-6, 0
416, 2, 2, 6, 1, 5, 2650, 6.313272645756048E-6, 0
137, 2, 31, 786, 1, 267, 903, 1.341690083109515E-4, 1
157, 3, 18, 213, 1, 71, 1129, 6.755897587425743E-5, 0
47, 3, 45, 369, 1, 125, 328, 0.004105489689673027, 0
61, 2, 51, 450, 1, 187, 522, 5.807496550122761E-4, 0
29, 1, 73, 819, 1, 275, 243, 0.00950482788142807, 0
115, 2, 27, 577, 1, 229, 1123, 8.133531476702446E-5, 0
49, 2, 84, 965, 1, 363, 338, 0.006037800789071015, 0
44, 2, 38, 322, 1, 97, 461, 0.0016730829910917757, 0
24, 1, 28, 261, 1, 79, 123, 0.06538151048636319, 0
23, 1, 59, 1061, 1, 351, 138, 0.08093128911047119, 1
27, 2, 62, 537, 1, 168, 200, 0.01084465567959392, 0
368, 2, 2, 2, 1, 2, 2611, 5.6091184311113025E-6, 0
19, 1, 29, 102, 1, 33, 85, 0.07992578070298277, 1
54, 1, 41, 1645, 1, 635, 307, 0.00699875094611327, 1
45, 3, 37, 288, 1, 105, 345, 0.0026140035737778995, 0
34, 1, 22, 247, 1, 84, 195, 0.032402243619003346, 1
31, 2, 59, 276, 1, 115, 245, 0.014126767619845222, 0
358, 2, 20, 326, 1, 142, 2359, 7.204857230124404E-6, 0
98, 2, 36, 227, 1, 105, 791, 2.2922681259915527E-4, 0
249, 1, 5, 31, 1, 15, 2640, 5.386817310438944E-6, 0
119, 3, 15, 81, 1, 25, 904, 2.9651596126368585E-4, 0
14, 1, 123, 2061, 1, 632, 80, 0.4281268586327672, 1
100, 1, 25, 152, 1, 65, 775, 2.8705664318353095E-4, 0
230, 2, 2, 2, 1, 2, 1864, 3.090185143374479E-5, 0
162, 2, 13, 60, 1, 29, 1507, 2.781594447503887E-5, 0
56, 1, 49, 378, 1, 123, 398, 0.002041869809071208, 1
48, 1, 5, 11, 1, 5, 475, 0.003432361295570847, 0
38, 1, 26, 169, 1, 51, 429, 0.0019328798568667715, 1
131, 2, 21, 195, 1, 90, 1226, 5.5276550641270574E-5, 0
26, 2, 36, 74, 1, 28, 174, 0.04193886154645544, 0
69, 2, 45, 971, 1, 332, 540, 8.142814250714067E-4, 0
40, 2, 35, 467, 1, 136, 295, 0.003517051745811606, 1
42, 2, 53, 487, 1, 180, 369, 0.0023593695519299037, 0
148, 1, 34, 434, 1, 149, 625, 5.371000363641409E-4, 0
18, 1, 77, 1211, 1, 363, 122, 0.0896069747744389, 0
214, 2, 11, 64, 1, 30, 1581, 2.004555587953591E-5, 0
66, 3, 4, 8, 1, 3, 333, 0.005598540402917058, 0
138, 2, 24, 455, 1, 194, 1011, 1.018876633993622E-4, 0
60, 2, 56, 990, 1, 314, 636, 6.183736678560587E-4, 0
176, 2, 0, 0, 1, 1, 1389, 9.586239896342314E-5, 0
26, 1, 59, 624, 1, 178, 206, 0.017642686478722427, 1
26, 2, 45, 316, 1, 93, 180, 0.02393265504522797, 1
24, 3, 60, 451, 1, 157, 157, 0.027613331700213666, 0
53, 2, 11, 40, 1, 13, 394, 0.0020982428577947763, 0
99, 2, 0, 0, 1, 1, 838, 5.122627226392207E-4, 0
204, 2, 45, 404, 1, 172, 1743, 1.4005018651054458E-5, 0
26, 1, 27, 76, 1, 26, 144, 0.08737472404737981, 0
181, 2, 22, 174, 1, 81, 1791, 1.7015114784612237E-5, 0
23, 1, 44, 615, 1, 210, 176, 0.017279587397440715, 0
62, 1, 0, 0, 1, 1, 438, 0.0026869792439963344, 0
93, 2, 12, 215, 1, 78, 801, 4.1287193684154676E-4, 0
53, 1, 52, 3480, 1, 1297, 322, 0.006521311352185503, 1
30, 3, 57, 695, 1, 230, 214, 0.013234074683348612, 0
30, 3, 35, 333, 1, 115, 206, 0.00845235063134179, 0
29, 1, 88, 1887, 1, 582, 208, 0.011662890636263648, 0
43, 2, 29, 174, 1, 57, 270, 0.007626880469638784, 0
41, 1, 28, 212, 1, 63, 284, 0.005214908105797707, 1
30, 1, 32, 867, 1, 254, 133, 0.10673416974322596, 0
74, 2, 44, 751, 1, 263, 562, 8.733912671943323E-4, 1
