SUB  , '='      , '['          , NAME         , STRING     , 1
SUB  , '='      , STRING       , NAME         , '['        , 1
SUB  , NAME     , '='          , NAME         , '+'        , 1
SUB  , NAME     , NAME         , ':'          , '='        , 1
SUB  , '='      , UNKNOWN_CHAR , NUMBER       , STRING     , 1
SUB  , ')'      , '...'        , NUMBER       , '，'        , 1
SUB  , ']'      , '...'        , NUMBER       , '，'        , 1
SUB  , ']'      , NAME         , '...'        , ']'        , 1
SUB  , '.'      , 'assert'     , '('          , NAME       , 1
SUB  , '，'      , STRING       , ']'          , '['        , 1
SUB  , NAME     , '='          , NEWLINE      , '=='       , 1
SUB  , ')'      , '='          , NUMBER       , '=='       , 1
SUB  , STRING   , UNKNOWN_CHAR , STRING       , '，'        , 1
SUB  , ')'      , NEWLINE      , 'return'     , ':'        , 1
SUB  , START    , 'in'         , NAME         , NEWLINE    , 1
SUB  , '='      , UNKNOWN_CHAR , '...'        , STRING     , 1
SUB  , STRING   , '...'        , '}'          , '，'        , 1
SUB  , NEWLINE  , '...'        , NAME         , 98         , 1
SUB  , '='      , UNKNOWN_CHAR , UNKNOWN_CHAR , NAME       , 1
SUB  , '.'      , UNKNOWN_CHAR , NEWLINE      , NAME       , 1
SUB  , NAME     , '}'          , NEWLINE      , ')'        , 1
SUB  , 98       , 'return'     , '='          , NAME       , 1
SUB  , '，'      , 'def'        , '，'          , STRING     , 1
SUB  , '.'      , UNKNOWN_CHAR , UNKNOWN_CHAR , NAME       , 1
SUB  , '}'      , '}'          , END          , NEWLINE    , 1
SUB  , NAME     , '='          , STRING       , '，'        , 1
SUB  , NEWLINE  , 'for'        , NAME         , '...'      , 1
SUB  , '['      , UNKNOWN_CHAR , '/'          , STRING     , 1
SUB  , NAME     , '.'          , '.'          , ':'        , 1
SUB  , ':'      , '.'          , END          , STRING     , 1
SUB  , NAME     , ')'          , NEWLINE      , '}'        , 1
SUB  , ')'      , NEWLINE      , 99           , '('        , 1
SUB  , '('      , 99           , END          , ')'        , 1
SUB  , '...'    , '...'        , '.'          , '('        , 1
SUB  , '('      , '.'          , NEWLINE      , NAME       , 1
SUB  , NUMBER   , ')'          , NEWLINE      , ']'        , 1
SUB  , NEWLINE  , 'assert'     , '.'          , NAME       , 1
SUB  , STRING   , '.'          , NAME         , ']'        , 1
SUB  , ']'      , NAME         , UNKNOWN_CHAR , '+'        , 1
SUB  , ')'      , '...'        , ']'          , '('        , 1
SUB  , '，'      , '...'        , '.'          , '}'        , 1
SUB  , ']'      , '...'        , END          , ']'        , 1
SUB  , NAME     , '...'        , END          , '，'        , 1
SUB  , ']'      , UNKNOWN_CHAR , END          , ')'        , 1
SUB  , 98       , '>>'         , NAME         , NEWLINE    , 1
SUB  , ')'      , NEWLINE      , 98           , ':'        , 1
SUB  , '，'      , '}'          , END          , ')'        , 1
SUB  , NUMBER   , ']'          , '，'          , ')'        , 1
SUB  , '，'      , UNKNOWN_CHAR , NAME         , '{'        , 1
SUB  , STRING   , NAME         , STRING       , '['        , 1
SUB  , START    , '('          , NAME         , '{'        , 1
SUB  , STRING   , UNKNOWN_CHAR , END          , '+'        , 1
SUB  , '='      , NUMBER       , NAME         , STRING     , 1
