Type , Left         , Old Mid    , Right      , New Mid      , Frequency
DEL  , STRING       , ']'        , '}'        ,              , 15       
INS  , '='          ,            , NAME       , NUMBER       , 15       
INS  , NAME         ,            , NEWLINE    , '**'         , 15       
SUB  , NEWLINE      , 99         , NAME       , 98           , 15       
DEL  , STRING       , ')'        , ','        ,              , 15       
DEL  , STRING       , '+'        , NAME       ,              , 15       
DEL  , ','          , '}'        , '}'        ,              , 15       
INS  , ':'          ,            , STRING     , NAME         , 15       
SUB  , STRING       , ','        , STRING     , '.'          , 15       
INS  , '<'          ,            , NAME       , NAME         , 15       
DEL  , 99           , 'def'      , NAME       ,              , 15       
INS  , NAME         ,            , ')'        , '('          , 15       
INS  , STRING       ,            , STRING     , ':'          , 15       
INS  , '('          ,            , NAME       , '['          , 15       
INS  , '...'        ,            , EOS        , '.'          , 15       
SUB  , NEWLINE      , NAME       , NEWLINE    , 'return'     , 15       
INS  , NAME         ,            , ','        , ')'          , 15       
DEL  , '('          , '{'        , STRING     ,              , 15       
INS  , ']'          ,            , NEWLINE    , ')'          , 15       
INS  , 'from'       ,            , NAME       , NAME         , 15       
DEL  , NAME         , ':'        , NAME       ,              , 15       
INS  , UNKNOWN_CHAR ,            , NUMBER     , NUMBER       , 15       
INS  , '='          ,            , NAME       , '('          , 15       
INS  , NUMBER       ,            , EOS        , NEWLINE      , 14       
DEL  , STRING       , '}'        , ']'        ,              , 14       
DEL  , ')'          , '('        , ')'        ,              , 14       
INS  , '('          ,            , NAME       , NUMBER       , 14       
SUB  , STRING       , '}'        , EOS        , ']'          , 14       
DEL  , NEWLINE      , 99         , 'else'     ,              , 14       
DEL  , '+'          , STRING     , STRING     ,              , 14       
INS  , NEWLINE      ,            , '/'        , '<'          , 14       
DEL  , 'import'     , NAME       , NEWLINE    ,              , 14       
INS  , BOS          ,            , 'for'      , NEWLINE      , 14       
DEL  , '}'          , ']'        , '}'        ,              , 14       
INS  , STRING       ,            , EOS        , UNKNOWN_CHAR , 14       
INS  , '='          ,            , NAME       , '/'          , 14       
INS  , BOS          ,            , '@'        , NEWLINE      , 14       
INS  , 98           ,            , NEWLINE    , NAME         , 14       
INS  , NAME         ,            , NAME       , ')'          , 14       
INS  , NEWLINE      ,            , 'with'     , 98           , 14       
DEL  , BOS          , '('        , NAME       ,              , 14       
INS  , BOS          ,            , NAME       , '%'          , 14       
DEL  , ']'          , NEWLINE    , EOS        ,              , 14       
SUB  , NAME         , 'in'       , NAME       , NAME         , 14       
INS  , '['          ,            , STRING     , UNKNOWN_CHAR , 14       
DEL  , '='          , '['        , NAME       ,              , 14       
DEL  , '='          , '['        , '['        ,              , 14       
INS  , 'return'     ,            , NAME       , NAME         , 14       
DEL  , ':'          , 98         , '...'      ,              , 14       
DEL  , '}'          , ')'        , ')'        ,              , 14       
DEL  , ']'          , ')'        , 'for'      ,              , 14       
INS  , NAME         ,            , 'def'      , NAME         , 13       
SUB  , NAME         , STRING     , EOS        , UNKNOWN_CHAR , 13       
DEL  , NUMBER       , ')'        , ']'        ,              , 13       
INS  , '>'          ,            , NAME       , NEWLINE      , 13       
DEL  , NEWLINE      , 98         , 'with'     ,              , 13       
INS  , BOS          ,            , 'import'   , NAME         , 13       
INS  , STRING       ,            , '}'        , NEWLINE      , 13       
INS  , '>>'         ,            , 'import'   , '>'          , 13       
DEL  , ')'          , NAME       , NEWLINE    ,              , 13       
INS  , NAME         ,            , '('        , '.'          , 13       
SUB  , NUMBER       , ','        , NUMBER     , ':'          , 13       
INS  , '>'          ,            , NAME       , NAME         , 13       
DEL  , NUMBER       , '}'        , EOS        ,              , 13       
SUB  , NAME         , STRING     , '%'        , UNKNOWN_CHAR , 13       
INS  , NUMBER       ,            , NEWLINE    , NAME         , 13       
INS  , BOS          ,            , NAME       , 'for'        , 13       
DEL  , ']'          , '('        , ')'        ,              , 13       
SUB  , NUMBER       , STRING     , ')'        , UNKNOWN_CHAR , 13       
INS  , '=='         ,            , NAME       , UNKNOWN_CHAR , 13       
